interaction_id,from_user_id,to_user_id,activity_id,interaction_type,timestamp
f35cc640-7d47-482d-9a92-e13ccdbdb138,LRR0148,unknown,3db5736b-f152-44ca-a5b2-19fbbe3f1dee,http,01/02/2010 06:55:16
f839de62-5859-40af-a411-f5479aef1408,NGF0157,unknown,01eebfec-6b6b-4036-822b-373a51b8b206,http,01/02/2010 07:00:13
9579cabe-7952-49c9-acc0-1a0584106a56,NGF0157,unknown,6a5e0882-9662-49cb-a7e0-3989670b9b05,http,01/02/2010 07:03:46
dee7c269-04f9-4041-8683-a1f9b79e09bc,IRM0931,unknown,a4bce624-8cf4-4919-9f50-03025c6547c6,http,01/02/2010 07:05:26
6df5bfa2-2d87-49cb-afe7-1435d2179d53,IRM0931,unknown,26311e03-c49d-484f-b459-84654556205b,http,01/02/2010 07:05:52
5cd33bcf-ed70-4ed1-b73b-58e8ab086577,IRM0931,unknown,e969fc86-1266-4e66-afec-999dfb867134,http,01/02/2010 07:05:55
530362be-2371-45f5-96ef-d995e09a72cc,LRR0148,unknown,46746015-6335-4b7d-b171-0ac2bb39bcad,http,01/02/2010 07:06:28
d25ad2a2-96ca-4595-b80f-7934770e7079,IRM0931,unknown,ac94b711-f189-4958-a619-b696283d41c3,http,01/02/2010 07:06:33
af915afa-11ff-4c8c-97c1-394e0fa10eb8,NGF0157,unknown,021dee57-40e0-4cec-84ed-25aedfe00aa7,http,01/02/2010 07:07:16
3dbfe731-fcb3-4ef2-a79c-65d963f9a977,LRR0148,unknown,38409b73-4d17-4043-8b1d-5a179120af05,http,01/02/2010 07:07:50
322ed5f8-6392-46c2-a09c-14b9494446c8,IRM0931,unknown,1d9e4447-a2ed-471f-8537-bded89f65034,http,01/02/2010 07:08:11
2b99cce4-94ed-4155-b61e-5a6e73555f61,NGF0157,unknown,9d6dd2eb-879a-43ca-aa49-aa87f04928b4,http,01/02/2010 07:08:31
04bc1909-5b79-4f1b-9ad9-0be7765d3706,LRR0148,unknown,e9019459-39bc-4b17-9cd4-05c63e0f84e5,http,01/02/2010 07:11:17
a21559ab-42e9-4d9f-a729-e61dc55bec16,LRR0148,unknown,b796298b-ae68-4edb-a5da-1b3672be421e,http,01/02/2010 07:12:32
2d560cd0-6411-42a7-b237-b3def9ac7639,LAP0338,unknown,c3d773f7-bdae-40d0-aad4-4bb00a72ee86,http,01/02/2010 07:12:35
24110603-1d7b-4650-ab6a-aaef8357c670,LAP0338,unknown,ec9cd362-0e38-4f3c-9674-e2068fabebc0,http,01/02/2010 07:12:39
ef022611-5c88-458e-b3ed-f7b9afcecb3d,LAP0338,unknown,c377fbc7-5a95-448f-b6a0-7533e01cda12,http,01/02/2010 07:12:56
aef9b201-6d99-4fae-bd16-01ad8c1218c2,LAP0338,unknown,10e1e8b6-fa7e-4020-9f5f-b9eeea42bd1c,http,01/02/2010 07:13:23
f972fe0c-1248-456a-90e2-258498cbc7a3,LAP0338,unknown,9b56be9f-f86f-4064-a038-9cbdbd7e60c8,http,01/02/2010 07:13:38
4fa1ec20-b7c9-477c-a676-07eddb908814,LAP0338,unknown,affb848e-a9dc-468a-8243-41205389a483,http,01/02/2010 07:13:52
